|continent    |date      |cases_per_million|countries_in_continent|
|             |2022-03-31|47,821.0776316735 |12                    |
|Asia         |2022-03-31|28,983.2267235244 |51                    |
|Africa       |2022-03-31|8,350.9479401138  |57                    |
|Europe       |2022-04-01|216,915.9359659288|55                    |
|North America|2022-04-01|157,668.9688908928|41                    |
|South America|2022-04-01|128,017.895580402 |14                    |
|Oceania      |2022-04-01|113,229.6571939457|24                    |
|             |2022-04-01|47,821.0776316735 |12                    |
|Asia         |2022-04-01|28,983.2267235244 |51                    |
|Africa       |2022-04-01|8,350.9479401138  |57                    |
|Europe       |2022-04-02|216,915.9359659288|55                    |
|North America|2022-04-02|157,668.9688908928|41                    |
|South America|2022-04-02|128,017.895580402 |14                    |
|Oceania      |2022-04-02|113,229.6571939457|24                    |
|             |2022-04-02|47,821.0776316735 |12                    |
|Asia         |2022-04-02|28,983.2267235244 |51                    |
|Africa       |2022-04-02|8,350.9479401138  |57                    |
|Europe       |2022-04-03|222,471.1261272914|55                    |
|North America|2022-04-03|158,155.1699535972|41                    |
|South America|2022-04-03|128,577.0225820521|14                    |
|Oceania      |2022-04-03|124,272.5317468295|24                    |
|             |2022-04-03|48,794.4296272823 |12                    |
|Asia         |2022-04-03|29,782.6257260002 |51                    |
|Africa       |2022-04-03|8,375.726355516   |57                    |
|Europe       |2022-04-04|222,471.1261272914|55                    |
|North America|2022-04-04|158,155.1699535972|41                    |
|South America|2022-04-04|128,577.0225820521|14                    |
|Oceania      |2022-04-04|124,272.5317468295|24                    |
|             |2022-04-04|48,794.4296272823 |12                    |
|Asia         |2022-04-04|29,782.6257260002 |51                    |
|Africa       |2022-04-04|8,375.726355516   |57                    |
|Europe       |2022-04-05|222,471.1261272914|55                    |
|North America|2022-04-05|158,155.1699535972|41                    |
|South America|2022-04-05|128,577.0225820521|14                    |
|Oceania      |2022-04-05|124,272.5317468295|24                    |
|             |2022-04-05|48,794.4296272823 |12                    |
|Asia         |2022-04-05|29,782.6257260002 |51                    |
|Africa       |2022-04-05|8,375.726355516   |57                    |
|Europe       |2022-04-06|222,471.1261272914|55                    |
|North America|2022-04-06|158,155.1699535972|41                    |
|South America|2022-04-06|128,577.0225820521|14                    |
|Oceania      |2022-04-06|124,272.5317468295|24                    |
|             |2022-04-06|48,794.4296272823 |12                    |
|Asia         |2022-04-06|29,782.6257260002 |51                    |
|Africa       |2022-04-06|8,375.726355516   |57                    |
|Europe       |2022-04-07|222,471.1261272914|55                    |
|North America|2022-04-07|158,155.1699535972|41                    |
|South America|2022-04-07|128,577.0225820521|14                    |
|Oceania      |2022-04-07|124,272.5317468295|24                    |
|             |2022-04-07|48,794.4296272823 |12                    |
|Asia         |2022-04-07|29,782.6257260002 |51                    |
|Africa       |2022-04-07|8,375.726355516   |57                    |
|Europe       |2022-04-08|222,471.1261272914|55                    |
|North America|2022-04-08|158,155.1699535972|41                    |
|South America|2022-04-08|128,577.0225820521|14                    |
|Oceania      |2022-04-08|124,272.5317468295|24                    |
|             |2022-04-08|48,794.4296272823 |12                    |
|Asia         |2022-04-08|29,782.6257260002 |51                    |
|Africa       |2022-04-08|8,375.726355516   |57                    |
|Europe       |2022-04-09|222,471.1261272914|55                    |
|North America|2022-04-09|158,155.1699535972|41                    |
|South America|2022-04-09|128,577.0225820521|14                    |
|Oceania      |2022-04-09|124,272.5317468295|24                    |
|             |2022-04-09|48,794.4296272823 |12                    |
|Asia         |2022-04-09|29,782.6257260002 |51                    |
|Africa       |2022-04-09|8,375.726355516   |57                    |
|Europe       |2022-04-10|226,850.6147386583|55                    |
|North America|2022-04-10|158,669.1343732936|41                    |
|Oceania      |2022-04-10|133,978.7619624073|24                    |
|South America|2022-04-10|129,033.1406965346|14                    |
|             |2022-04-10|49,547.7353224409 |12                    |
|Asia         |2022-04-10|30,344.9899102332 |51                    |
|Africa       |2022-04-10|8,398.1838542001  |57                    |
|Europe       |2022-04-11|226,850.6147386583|55                    |
|North America|2022-04-11|158,669.1343732936|41                    |
|Oceania      |2022-04-11|133,978.7619624073|24                    |
|South America|2022-04-11|129,033.1406965346|14                    |
|             |2022-04-11|49,547.7353224409 |12                    |
|Asia         |2022-04-11|30,344.9899102332 |51                    |
|Africa       |2022-04-11|8,398.1838542001  |57                    |
|Europe       |2022-04-12|226,850.6147386583|55                    |
|North America|2022-04-12|158,669.1343732936|41                    |
|Oceania      |2022-04-12|133,978.7619624073|24                    |
|South America|2022-04-12|129,033.1406965346|14                    |
|             |2022-04-12|49,547.7353224409 |12                    |
|Asia         |2022-04-12|30,344.9899102332 |51                    |
|Africa       |2022-04-12|8,398.1838542001  |57                    |
|Europe       |2022-04-13|226,850.6147386583|55                    |
|North America|2022-04-13|158,669.1343732936|41                    |
|Oceania      |2022-04-13|133,978.7619624073|24                    |
|South America|2022-04-13|129,033.1406965346|14                    |
|             |2022-04-13|49,547.7353224409 |12                    |
|Asia         |2022-04-13|30,344.9899102332 |51                    |
|Africa       |2022-04-13|8,398.1838542001  |57                    |
|Europe       |2022-04-14|226,850.6147386583|55                    |
|North America|2022-04-14|158,669.1343732936|41                    |
|Oceania      |2022-04-14|133,978.7619624073|24                    |
|South America|2022-04-14|129,033.1406965346|14                    |
|             |2022-04-14|49,547.7353224409 |12                    |
|Asia         |2022-04-14|30,344.9899102332 |51                    |
|Africa       |2022-04-14|8,398.1838542001  |57                    |
|Europe       |2022-04-15|226,850.6147386583|55                    |
|North America|2022-04-15|158,669.1343732936|41                    |
|Oceania      |2022-04-15|133,978.7619624073|24                    |
|South America|2022-04-15|129,033.1406965346|14                    |
|             |2022-04-15|49,547.7353224409 |12                    |
|Asia         |2022-04-15|30,344.9899102332 |51                    |
|Africa       |2022-04-15|8,398.1838542001  |57                    |
|Europe       |2022-04-16|226,850.6147386583|55                    |
|North America|2022-04-16|158,669.1343732936|41                    |
|Oceania      |2022-04-16|133,978.7619624073|24                    |
|South America|2022-04-16|129,033.1406965346|14                    |
|             |2022-04-16|49,547.7353224409 |12                    |
|Asia         |2022-04-16|30,344.9899102332 |51                    |
|Africa       |2022-04-16|8,398.1838542001  |57                    |
|Europe       |2022-04-17|230,399.9467055142|55                    |
|North America|2022-04-17|159,254.7834575841|41                    |
|Oceania      |2022-04-17|142,075.8057028338|24                    |
